branchiness, depthicity, nodeCount, ruleCount, selectorsUsed.descendant, selectorsUsed.child, selectorsUsed.adjacentSibling, selectorsUsed.generalSibling, HTMLDocumentParser::processParsedChunkFromBackgroundParser, Document::updateStyle, FrameView::performLayout
50, 2, 2101, 46, 0, 0, 49, 0, 27847, 10357, 22333
50, 1, 96, 20, 0, 0, 19, 0, 12190, 929, 2243
50, 1, 98, 27, 0, 0, 30, 0, 13923, 668, 1936
50, 1, 95, 13, 0, 0, 17, 0, 18010, 1942, 2722
50, 1, 95, 46, 0, 0, 39, 0, 18497, 1248, 2771
50, 2, 1438, 32, 0, 0, 29, 0, 22902, 10068, 29252
50, 1, 100, 49, 0, 0, 47, 0, 14759, 990, 4113
50, 2, 1973, 25, 0, 0, 29, 0, 72860, 9643, 36517
50, 2, 1322, 23, 0, 0, 27, 0, 42825, 7518, 23167
50, 1, 98, 42, 0, 0, 46, 0, 16793, 776, 3349
50, 1, 98, 45, 0, 0, 39, 0, 13775, 1617, 4559
50, 2, 1921, 23, 0, 0, 26, 0, 42561, 11393, 28717
50, 1, 95, 8, 0, 0, 6, 0, 20803, 2050, 2773
50, 1, 98, 44, 0, 0, 46, 0, 20735, 994, 2417
50, 1, 98, 13, 0, 0, 9, 0, 17761, 830, 2505
50, 2, 1658, 22, 0, 0, 23, 0, 55346, 9969, 24697
50, 2, 2230, 38, 0, 0, 22, 0, 41053, 14141, 37727
50, 2, 1398, 45, 0, 0, 51, 0, 26443, 8097, 37277
50, 2, 1570, 41, 0, 0, 41, 0, 44925, 8170, 24051
50, 1, 99, 12, 0, 0, 8, 0, 11826, 917, 3480
50, 2, 2258, 29, 0, 0, 31, 0, 40660, 10405, 45482
50, 1, 97, 25, 0, 0, 22, 0, 8409, 642, 2203
50, 2, 1910, 38, 0, 0, 39, 0, 29316, 11215, 30451
50, 2, 1684, 18, 0, 0, 15, 0, 25334, 8013, 26237
50, 2, 1714, 47, 0, 0, 66, 0, 23962, 9192, 21894
50, 1, 97, 2, 0, 0, 2, 0, 13118, 846, 3133
50, 1, 98, 33, 0, 0, 35, 0, 19214, 1184, 1605
50, 2, 2003, 22, 0, 0, 25, 0, 46981, 9231, 25412
